"Status","Date and Time","Response Time (ms)","Error","Location"
"unconfirmed_down","10/02/2014 12:54:54AM","","Timeout (> 30s)","Strasbourg (France)"
"up","10/02/2014 12:49:51AM","446 ms","OK","New York (NY)"
"up","10/02/2014 12:44:51AM","602 ms","OK","Seattle (WA)"
"up","10/02/2014 12:40:18AM","1,434 ms","OK","Seattle (WA)"
"unconfirmed_down","10/02/2014 12:39:51AM","","Network error","Vienna (Austria)"
"up","10/02/2014 12:34:51AM","1,047 ms","OK","Charlotte (NC)"
"up","10/02/2014 12:29:51AM","1,272 ms","OK","Philadelphia (PA)"
"up","10/02/2014 12:24:51AM","422 ms","OK","Toronto 4 (Canada)"
"up","10/02/2014 12:19:51AM","769 ms","OK","Las Vegas 3 (NV)"
"up","10/02/2014 12:14:51AM","733 ms","OK","Amsterdam 3 (Netherlands)"
"up","10/02/2014 12:09:51AM","828 ms","OK","Strasbourg (France)"
"up","10/02/2014 12:04:51AM","1,306 ms","OK","New York (NY)"
"up","09/02/2014 11:59:51PM","590 ms","OK","Seattle (WA)"
"up","09/02/2014 11:54:51PM","626 ms","OK","Vienna (Austria)"
"up","09/02/2014 11:49:51PM","657 ms","OK","Charlotte (NC)"
"up","09/02/2014 11:44:51PM","439 ms","OK","Philadelphia (PA)"
"up","09/02/2014 11:39:51PM","1,247 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 11:34:51PM","553 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 11:29:51PM","660 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 11:24:51PM","761 ms","OK","Strasbourg (France)"
"up","09/02/2014 11:19:52PM","574 ms","OK","New York (NY)"
"up","09/02/2014 11:14:51PM","628 ms","OK","Seattle (WA)"
"up","09/02/2014 11:09:51PM","931 ms","OK","Vienna (Austria)"
"up","09/02/2014 11:04:51PM","1,311 ms","OK","Charlotte (NC)"
"up","09/02/2014 10:59:51PM","475 ms","OK","Philadelphia (PA)"
"up","09/02/2014 10:54:51PM","428 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 10:49:51PM","1,447 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 10:44:51PM","875 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 10:39:51PM","1,743 ms","OK","Strasbourg (France)"
"up","09/02/2014 10:34:51PM","419 ms","OK","New York (NY)"
"up","09/02/2014 10:29:53PM","1,379 ms","OK","Seattle (WA)"
"up","09/02/2014 10:24:51PM","642 ms","OK","Vienna (Austria)"
"up","09/02/2014 10:19:51PM","478 ms","OK","Charlotte (NC)"
"up","09/02/2014 10:14:51PM","454 ms","OK","Philadelphia (PA)"
"up","09/02/2014 10:09:51PM","475 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 10:04:51PM","1,640 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 09:59:51PM","697 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 09:54:51PM","1,590 ms","OK","Strasbourg (France)"
"up","09/02/2014 09:49:51PM","1,631 ms","OK","New York (NY)"
"up","09/02/2014 09:44:51PM","535 ms","OK","Seattle (WA)"
"up","09/02/2014 09:39:51PM","745 ms","OK","Vienna (Austria)"
"up","09/02/2014 09:34:51PM","580 ms","OK","Charlotte (NC)"
"up","09/02/2014 09:29:52PM","489 ms","OK","Philadelphia (PA)"
"up","09/02/2014 09:24:51PM","449 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 09:19:51PM","556 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 09:14:51PM","705 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 09:09:51PM","638 ms","OK","Strasbourg (France)"
"up","09/02/2014 09:04:51PM","434 ms","OK","New York (NY)"
"up","09/02/2014 08:59:51PM","1,795 ms","OK","Seattle (WA)"
"up","09/02/2014 08:54:51PM","1,756 ms","OK","Vienna (Austria)"
"up","09/02/2014 08:49:51PM","1,408 ms","OK","Charlotte (NC)"
"up","09/02/2014 08:44:51PM","379 ms","OK","Philadelphia (PA)"
"up","09/02/2014 08:39:51PM","1,195 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 08:34:51PM","669 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 08:29:51PM","1,821 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 08:24:51PM","800 ms","OK","Strasbourg (France)"
"up","09/02/2014 08:19:51PM","454 ms","OK","New York (NY)"
"up","09/02/2014 08:14:51PM","614 ms","OK","Seattle (WA)"
"up","09/02/2014 08:09:51PM","898 ms","OK","Vienna (Austria)"
"up","09/02/2014 08:04:51PM","627 ms","OK","Charlotte (NC)"
"up","09/02/2014 07:59:51PM","1,305 ms","OK","Philadelphia (PA)"
"up","09/02/2014 07:54:51PM","398 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 07:49:51PM","756 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 07:44:51PM","678 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 07:39:53PM","630 ms","OK","Strasbourg (France)"
"up","09/02/2014 07:34:51PM","416 ms","OK","New York (NY)"
"up","09/02/2014 07:29:51PM","556 ms","OK","Seattle (WA)"
"up","09/02/2014 07:24:51PM","714 ms","OK","Vienna (Austria)"
"up","09/02/2014 07:19:51PM","543 ms","OK","Charlotte (NC)"
"up","09/02/2014 07:14:51PM","471 ms","OK","Philadelphia (PA)"
"up","09/02/2014 07:09:51PM","482 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 07:04:51PM","451 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 06:59:51PM","644 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 06:54:51PM","688 ms","OK","Strasbourg (France)"
"up","09/02/2014 06:49:51PM","410 ms","OK","New York (NY)"
"up","09/02/2014 06:44:51PM","518 ms","OK","Seattle (WA)"
"up","09/02/2014 06:39:51PM","628 ms","OK","Vienna (Austria)"
"up","09/02/2014 06:34:51PM","646 ms","OK","Charlotte (NC)"
"up","09/02/2014 06:29:51PM","481 ms","OK","Philadelphia (PA)"
"up","09/02/2014 06:24:51PM","443 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 06:19:51PM","897 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 06:14:51PM","1,450 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 06:09:51PM","1,730 ms","OK","Strasbourg (France)"
"up","09/02/2014 06:04:51PM","525 ms","OK","New York (NY)"
"up","09/02/2014 05:59:51PM","1,530 ms","OK","Seattle (WA)"
"up","09/02/2014 05:54:51PM","627 ms","OK","Vienna (Austria)"
"up","09/02/2014 05:49:51PM","459 ms","OK","Charlotte (NC)"
"up","09/02/2014 05:44:51PM","469 ms","OK","Philadelphia (PA)"
"up","09/02/2014 05:39:51PM","379 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 05:34:51PM","757 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 05:29:51PM","698 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 05:24:51PM","599 ms","OK","Strasbourg (France)"
"up","09/02/2014 05:19:51PM","1,229 ms","OK","New York (NY)"
"up","09/02/2014 05:14:52PM","700 ms","OK","Seattle (WA)"
"up","09/02/2014 05:09:51PM","756 ms","OK","Vienna (Austria)"
"up","09/02/2014 05:04:51PM","1,285 ms","OK","Charlotte (NC)"
"up","09/02/2014 04:59:51PM","338 ms","OK","Philadelphia (PA)"
"up","09/02/2014 04:54:51PM","577 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 04:49:51PM","1,277 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 04:44:51PM","564 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 04:39:51PM","635 ms","OK","Strasbourg (France)"
"up","09/02/2014 04:34:51PM","1,008 ms","OK","New York (NY)"
"up","09/02/2014 04:29:51PM","478 ms","OK","Seattle (WA)"
"up","09/02/2014 04:24:51PM","1,807 ms","OK","Vienna (Austria)"
"up","09/02/2014 04:19:51PM","1,367 ms","OK","Charlotte (NC)"
"up","09/02/2014 04:14:51PM","575 ms","OK","Philadelphia (PA)"
"up","09/02/2014 04:09:51PM","1,219 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 04:04:51PM","486 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 03:59:51PM","1,780 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 03:54:51PM","662 ms","OK","Strasbourg (France)"
"up","09/02/2014 03:49:51PM","373 ms","OK","New York (NY)"
"up","09/02/2014 03:44:51PM","604 ms","OK","Seattle (WA)"
"up","09/02/2014 03:39:51PM","669 ms","OK","Vienna (Austria)"
"up","09/02/2014 03:34:51PM","458 ms","OK","Charlotte (NC)"
"up","09/02/2014 03:29:51PM","1,279 ms","OK","Philadelphia (PA)"
"up","09/02/2014 03:24:51PM","517 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 03:19:51PM","527 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 03:14:51PM","1,501 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 03:09:51PM","933 ms","OK","Strasbourg (France)"
"up","09/02/2014 03:04:51PM","483 ms","OK","New York (NY)"
"up","09/02/2014 02:59:51PM","587 ms","OK","Seattle (WA)"
"up","09/02/2014 02:54:51PM","626 ms","OK","Vienna (Austria)"
"up","09/02/2014 02:49:51PM","540 ms","OK","Charlotte (NC)"
"up","09/02/2014 02:44:51PM","672 ms","OK","Philadelphia (PA)"
